requirement_id;canonical_fields;question_id;question_type;question_label;options;effects;clause_group_id;controls;evidence_types;output_section_id;review_roles;status
CIRC005_GENERAL_SCOPE;regulatory_context.pack_id|regulatory_context.source_versions;Q_REGULATORY_PACK_CONFIRMATION;SINGLE_CHOICE;Confirmez-vous que le fonds relève du pack OPCVM/FCP UMOA ?;CONFIRMED::Oui|REVIEW_REQUIRED::Cas particulier;SELECT_PACK_UMOA_FCP|LOAD_CIRC005_REQUIREMENTS;CG_NONE;RULE_PACK_SCOPE_CONFIRMED;FUND_APPROVAL_OR_PROJECT_MANDATE;SYSTEM_ONLY;COMPLIANCE|LEGAL;SPECIFIED_NOT_IMPLEMENTED
CIRC005_GENERAL_MINIMUM;regulatory_coverage.requirements;Q_SYSTEM_MINIMUM_COVERAGE;SYSTEM;Couverture minimale de l'annexe 1;;CREATE_COVERAGE_RECORD_FOR_EACH_APPLICABLE_REQUIREMENT;CG_NONE;RULE_ALL_APPLICABLE_REQUIREMENTS_HAVE_COVERAGE;;SYSTEM_ONLY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_GENERAL_ORDER;document_manifest.section_order;Q_SYSTEM_DOCUMENT_ORDER;SYSTEM;Ordre réglementaire du prospectus;;APPLY_CIRC005_SECTION_SEQUENCE;CG_NONE;RULE_CIRC005_ORDER;;SYSTEM_ONLY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_GENERAL_EFFECTIVE_DATE;regulatory_context.effective_date|regulatory_sources.publication_date;Q_SOURCE_PUBLICATION_DATE;DATE;Quelle est la date officielle de publication de la circulaire ?;;REQUIRE_OFFICIAL_SOURCE;CG_NONE;RULE_SOURCE_EFFECTIVE_DATE_VERIFIED;OFFICIAL_REGISTRY_RECORD;SYSTEM_ONLY;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_1_FCP_DENOMINATION;fund.legal_name;Q_FUND_LEGAL_NAME;TEXT;Quelle est la dénomination officielle du fonds ?;;PREFILL_IF_KNOWN|CROSS_DOCUMENT_SYNC;CG_FCP_IDENTITY;RULE_FUND_NAME_REQUIRED|RULE_FUND_NAME_CROSS_DOCUMENT;FUND_APPROVAL_DECISION|FUND_REGULATION;SEC_1_1_FCP_DENOMINATION;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_2_FCP_CONSTITUTION_DATE;fund.constitution_date;Q_FUND_CONSTITUTION_DATE;DATE;Quelle est la date de constitution du fonds ?;;PREFILL_IF_KNOWN;CG_FCP_CONSTITUTION;RULE_CONSTITUTION_DATE_VALID;FUND_REGULATION|CONSTITUTION_DOCUMENT;SEC_1_2_FCP_CONSTITUTION_DURATION;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_2_FCP_LIMITED_DURATION;fund.duration_type|fund.duration_years|fund.expiration_date;Q_FUND_DURATION_TYPE;SINGLE_CHOICE;Le fonds est-il constitué pour une durée déterminée ?;INDEFINITE::Durée indéterminée|LIMITED::Durée déterminée;IF_LIMITED_SHOW_DURATION_AND_EXPIRATION;CG_FCP_DURATION;RULE_LIMITED_DURATION_COMPLETE|RULE_EXPIRATION_DATE_CONSISTENT;FUND_REGULATION;SEC_1_2_FCP_CONSTITUTION_DURATION;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_4_FCP_REGULATION_AVAILABILITY;documents.fund_regulation.is_attached|documents.fund_regulation.locations|documents.fund_regulation.url|documents.fund_regulation.request_contact;Q_FUND_REGULATION_ATTACHED;SINGLE_CHOICE;Le règlement du fonds est-il annexé au prospectus ?;true::Oui|false::Non;IF_NOT_ATTACHED_REQUIRE_AVAILABILITY_LOCATIONS;CG_DOCUMENT_AVAILABILITY;RULE_DOCUMENT_LOCATION_REQUIRED_IF_NOT_ATTACHED;FUND_REGULATION;SEC_1_4_DOCUMENT_AVAILABILITY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_4_FCP_PERIODIC_REPORTS_AVAILABILITY;documents.periodic_reports.locations|documents.periodic_reports.url|documents.periodic_reports.request_contact|documents.periodic_reports.delivery_delay_days;Q_PERIODIC_REPORTS_LOCATIONS;MULTI_LOCATION;Où les porteurs pourront-ils obtenir les rapports périodiques ?;;BUILD_AVAILABILITY_WORDING;CG_DOCUMENT_AVAILABILITY;RULE_PERIODIC_REPORT_LOCATION_REQUIRED;;SEC_1_4_DOCUMENT_AVAILABILITY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_5_FCP_TAX_REGIME;tax.fund.summary|tax.source_reference|tax.valid_from;Q_FUND_TAX_REGIME;REFERENCE_SELECT;Sélectionnez le régime fiscal validé applicable au fonds.;;REQUIRE_TAX_SOURCE;CG_FCP_TAX;RULE_TAX_SOURCE_REQUIRED|RULE_TAX_VALIDITY_DATE;OFFICIAL_TAX_SOURCE|TAX_LEGAL_MEMO;SEC_1_5_TAX;TAX|LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
