requirement_id;canonical_fields;question_id;question_type;question_label;options;effects;clause_group_id;controls;evidence_types;output_section_id;review_roles;status
CIRC005_1_15_FCP_INVESTMENT_OBJECTIVES_POLICY;investment_policy;Q_INVESTMENT_POLICY_START;WIZARD_GROUP;Décrivez les choix structurants de la politique d'investissement.;;OPEN_INVESTMENT_POLICY_WIZARD;CG_INVESTMENT_POLICY_OVERVIEW;RULE_INVESTMENT_POLICY_COMPLETE;FUND_REGULATION|INVESTMENT_PROCESS_POLICY;SEC_1_15_INVESTMENT_POLICY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_15_A_FCP_FINANCIAL_OBJECTIVES;investment.objective.primary_type|investment.objective.horizon_years|investment.objective.benchmark_usage|capital_protection.guaranteed;Q_FINANCIAL_OBJECTIVE;SINGLE_CHOICE;Quel résultat financier le fonds cherche-t-il principalement ?;CAPITAL_GROWTH::Croissance du capital|INCOME::Revenu|INCOME_AND_GROWTH::Revenu et croissance|CAPITAL_PRESERVATION::Préservation du capital|OUTPERFORMANCE::Surperformance|REPLICATION::Réplication|OTHER::Autre;COMPOSE_OBJECTIVE_WORDING|IF_OTHER_REQUIRE_LEGAL_REVIEW;CG_FINANCIAL_OBJECTIVE;RULE_OBJECTIVE_HORIZON_REQUIRED|RULE_GUARANTEE_WORDING_CONSISTENCY;FUND_REGULATION;SEC_1_15_INVESTMENT_POLICY;LEGAL|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_15_B_FCP_PLACEMENT_POLICY;investment.management_style|investment.asset_ranges|investment.selection_process;Q_MANAGEMENT_STYLE;SINGLE_CHOICE;Quel style de gestion est utilisé ?;ACTIVE_DISCRETIONARY::Active discrétionnaire|INDEX::Indicielle|SYSTEMATIC::Systématique|QUANTITATIVE::Quantitative|PASSIVE::Passive|MIXED::Mixte;ACTIVATE_STYLE_SPECIFIC_QUESTIONS|SELECT_PLACEMENT_POLICY_CLAUSES;CG_PLACEMENT_POLICY;RULE_PLACEMENT_POLICY_ASSET_RANGE_CONSISTENCY;FUND_REGULATION|INVESTMENT_PROCESS_POLICY;SEC_1_15_INVESTMENT_POLICY;COMPLIANCE|RISK;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_15_C_FCP_GEOGRAPHIC_SECTOR_SPECIALIZATION;investment.geographic_focus|investment.geographic_exclusions|investment.sector_focus|investment.sector_exclusions;Q_INVESTMENT_SPECIALIZATION;SINGLE_CHOICE;Le fonds est-il spécialisé par zone géographique ou secteur ?;false::Non|true::Oui;IF_TRUE_REQUIRE_GEOGRAPHIC_OR_SECTOR_DETAILS;CG_INVESTMENT_SPECIALIZATION;RULE_SPECIALIZATION_DETAILS_IF_APPLICABLE;FUND_REGULATION;SEC_1_15_INVESTMENT_POLICY;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_15_D_FCP_POLICY_LIMITS;investment.asset_ranges|investment.issuer_limits|investment.market_limits|investment.currency_limits;Q_ASSET_EXPOSURE_MATRIX;ASSET_RANGE_MATRIX;Définissez les bornes minimales et maximales par catégorie d'actifs.;;PROPOSE_RISKS|REQUIRE_VALUATION_METHODS|RUN_RATIO_RULES;CG_INVESTMENT_LIMITS;RULE_ASSET_RANGE_VALIDITY|RULE_SUM_MINIMUMS_POSSIBLE|RULE_CLASSIFICATION_CONSISTENCY;FUND_REGULATION;SEC_1_15_INVESTMENT_POLICY;RISK|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_15_E_FCP_TECHNIQUES_INSTRUMENTS;investment.techniques|investment.instruments|investment.derivatives;Q_TECHNIQUES_INSTRUMENTS;MULTI_CHOICE;Quelles techniques et quels instruments le fonds peut-il utiliser ?;;ACTIVATE_INSTRUMENT_SPECIFIC_QUESTIONS|PROPOSE_RELATED_RISKS|REQUIRE_VALUATION_METHODS;CG_TECHNIQUES_INSTRUMENTS;RULE_TECHNIQUE_DISCLOSURE_COMPLETE;FUND_REGULATION|RISK_POLICY;SEC_1_15_INVESTMENT_POLICY;RISK|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_15_F_FCP_BORROWING_CAPACITY;borrowing.allowed|borrowing.purpose|borrowing.maximum_percent|borrowing.maximum_duration;Q_BORROWING_ALLOWED;SINGLE_CHOICE;Le fonds peut-il recourir à des emprunts ?;false::Non|true::Oui;IF_TRUE_REQUIRE_BORROWING_DETAILS|SELECT_BORROWING_CLAUSE_VARIANT;CG_BORROWING;RULE_BORROWING_DETAILS_IF_ALLOWED;FUND_REGULATION|LIQUIDITY_RISK_POLICY;SEC_1_15_INVESTMENT_POLICY;RISK|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_16_FCP_ASSET_VALUATION;valuation.methods|valuation.price_hierarchy|valuation.exception_process;Q_VALUATION_METHODS;VALUATION_METHOD_MATRIX;Confirmez la méthode de valorisation proposée pour chaque catégorie d'actifs utilisée.;;PRELOAD_METHODS_FROM_ASSET_REFERENCE|REQUIRE_METHOD_PER_USED_ASSET;CG_VALUATION;RULE_VALUATION_METHOD_PER_USED_ASSET|RULE_FALLBACK_METHOD_REQUIRED;VALUATION_POLICY|FUND_REGULATION;SEC_1_16_VALUATION;RISK|COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_17_FCP_PRICE_DETERMINATION;pricing;Q_PRICING_FRAMEWORK;WIZARD_GROUP;Confirmez les règles de détermination des prix de souscription et de rachat.;;OPEN_PRICING_WIZARD;CG_PRICING_OVERVIEW;RULE_PRICING_FRAMEWORK_COMPLETE;FUND_REGULATION|OPERATING_PROCEDURE;SEC_1_17_PRICE_DETERMINATION;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
CIRC005_1_17_A_FCP_PRICE_METHOD_FREQUENCY;pricing.nav.calculation_method|pricing.nav.frequency|pricing.issue_price.formula|pricing.redemption_price.formula;Q_NAV_FREQUENCY;SINGLE_CHOICE;À quelle fréquence la valeur liquidative et les prix sont-ils calculés ?;DAILY::Quotidienne|WEEKLY::Hebdomadaire|MONTHLY::Mensuelle|OTHER::Autre;REQUIRE_CALCULATION_CALENDAR|COMPOSE_PRICE_FORMULAS;CG_PRICE_METHOD_FREQUENCY;RULE_PRICE_FORMULA_COMPLETE|RULE_NAV_FREQUENCY_COMPLETE;FUND_REGULATION|VALUATION_POLICY;SEC_1_17_PRICE_DETERMINATION;COMPLIANCE;SPECIFIED_NOT_IMPLEMENTED
